celltype,repetition,bam
Mon,1,/projects/li-lab/agarwa/CUBE/DeepTact/dataset/ATAC-Seq/Mon/Mon_R1.mLb.clN.sorted.bam
Mon,2,/projects/li-lab/agarwa/CUBE/DeepTact/dataset/ATAC-Seq/Mon/Mon_R2.mLb.clN.sorted.bam

