celltype,repetition,npz

mouseB,1,promoter_COscore.mouseB.rep1.npz
mouseB,2,promoter_COscore.mouseB.rep2.npz
mouseB,3,promoter_COscore.mouseB.rep3.npz
mouseB,4,promoter_COscore.mouseB.rep4.npz
mouseB,5,promoter_COscore.mouseB.rep5.npz
mouseB,6,promoter_COscore.mouseB.rep4.npz
